Number,Symbol,Company Name,Market Cap,Stock Price,Revenue
1188,COST,Costco Wholesale Corporation,435.04B,980.98,268.78B
1189,COTY,Coty Inc.,4.13B,4.74,6.00B
1190,COUR,"Coursera, Inc.",1.99B,12.13,721.67M
1191,COYA,"Coya Therapeutics, Inc.",101.69M,6.08,3.69M
1192,CP,Canadian Pacific Kansas City Limited,68.95B,75.02,10.94B
1193,CPA,"Copa Holdings, S.A.",4.86B,117.76,3.48B
1194,CPAC,Cementos Pacasmayo S.A.A.,527.24M,6.24,572.83M
1195,CPAY,"Corpay, Inc.",21.27B,301.7,4.17B
1196,CPB,The Campbell's Company,9.67B,32.44,10.23B
1197,CPBI,"Central Plains Bancshares, Inc.",59.81M,15.3,18.90M
1198,CPF,Central Pacific Financial Corp.,725.80M,26.9,253.74M
1199,CPHC,Canterbury Park Holding Corporation,92.34M,18.26,60.07M
1200,CPHI,"China Pharma Holdings, Inc.",4.84M,1.485,4.30M
1201,CPIX,Cumberland Pharmaceuticals Inc.,47.72M,3.19,42.07M
1202,CPK,Chesapeake Utilities Corporation,2.88B,123.46,866.70M
1203,CPNG,"Coupang, Inc.",50.74B,27.83,32.26B
1204,CPOP,"Pop Culture Group Co., Ltd",65.78M,0.855,65.19M
1205,CPRI,Capri Holdings Limited,2.35B,19.7,4.39B
1206,CPRT,"Copart, Inc.",44.66B,46.19,4.59B
1207,CPRX,"Catalyst Pharmaceuticals, Inc.",2.43B,19.86,558.50M
1208,CPS,Cooper-Standard Holdings Inc.,456.18M,25.87,2.72B
1209,CPSH,CPS Technologies Corporation,41.40M,2.85,25.76M
1210,CPSS,"Consumer Portfolio Services, Inc.",172.91M,8.03,188.78M
1211,CPT,Camden Property Trust,11.44B,105.52,1.57B
1212,CQP,"Cheniere Energy Partners, L.P.",26.39B,54.51,9.96B
1213,CR,Crane Company,11.16B,193.96,2.23B
1214,CRAC,Cal Redwood Acquisition Corp.,271.99M,10.2,-
1215,CRAI,"CRA International, Inc.",1.23B,185.81,712.91M
1216,CRAQ,Cal Redwood Acquisition Corp.,303.87M,10.02,-
1217,CRBG,"Corebridge Financial, Inc.",17.93B,33.3,16.09B
1218,CRBP,"Corbus Pharmaceuticals Holdings, Inc.",103.30M,8.43,-
1219,CRBU,"Caribou Biosciences, Inc.",160.90M,1.73,9.92M
1220,CRC,California Resources Corporation,3.98B,47.55,3.62B
1221,CRCL,"Circle Internet Group, Inc.",36.20B,159.03,1.89B
1222,CRCT,"Cricut, Inc.",1.21B,5.69,711.95M
1223,CRD.A,Crawford & Company,446.41M,9.07,1.31B
1224,CRD.B,Crawford & Company,440.31M,8.87,1.31B
1225,CRDF,"Cardiff Oncology, Inc.",159.00M,2.39,545.00K
1226,CRDL,Cardiol Therapeutics Inc.,84.16M,0.986,-
1227,CRDO,Credo Technology Group Holding Ltd,20.67B,120.41,436.78M
1228,CRE,Cre8 Enterprise Limited,160.23M,6.63,13.37M
1229,CREG,Smart Powerr Corp.,3.75M,1.41,20.63K
1230,CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",671.63M,10.97,648.20M
1231,CREV,Carbon Revolution Public Limited Company,9.36M,4.99,39.26M
1232,CREX,"Creative Realities, Inc.",25.14M,2.5,48.30M
1233,CRGO,Freightos Limited,155.13M,3.11,25.38M
1234,CRGX,"CARGO Therapeutics, Inc.",217.16M,4.495,-
1235,CRGY,Crescent Energy Company,2.35B,9.23,3.47B
1236,CRH,CRH plc,73.49B,109.3,36.35B
1237,CRI,"Carter's, Inc.",923.92M,25.36,2.83B
1238,CRIS,"Curis, Inc.",21.37M,1.71,11.41M
1239,CRK,"Comstock Resources, Inc.",4.67B,15.94,1.65B
1240,CRL,"Charles River Laboratories International, Inc.",7.32B,148.74,4.03B
1241,CRM,"Salesforce, Inc.",229.93B,240.51,38.59B
1242,CRMD,CorMedix Inc.,768.85M,10.33,121.48M
1243,CRML,Critical Metals Corp.,479.68M,4.63,476.98K
1244,CRMT,"America's Car-Mart, Inc.",354.83M,43.26,1.39B
1245,CRNC,Cerence Inc.,396.81M,9.16,245.95M
1246,CRNG,"CorEnergy Infrastructure Trust, Inc.",13.34M,6.2,131.57M
1247,CRNT,Ceragon Networks Ltd.,176.97M,1.99,380.52M
1248,CRNX,"Crinetics Pharmaceuticals, Inc.",2.52B,26.85,1.39M
1249,CRON,Cronos Group Inc.,891.45M,2.3,130.28M
1250,CROX,"Crocs, Inc.",4.11B,75.24,4.14B
1251,CRS,Carpenter Technology Corporation,12.38B,248.74,2.88B
1252,CRSP,CRISPR Therapeutics AG,5.00B,55,38.05M
1253,CRSR,"Corsair Gaming, Inc.",955.56M,9.03,1.41B
1254,CRT,Cross Timbers Royalty Trust,52.86M,8.81,6.83M
1255,CRTO,Criteo S.A.,1.25B,23.95,1.95B
1256,CRUS,"Cirrus Logic, Inc.",5.33B,103.82,1.93B
1257,CRVL,CorVel Corporation,4.43B,86.19,918.58M
1258,CRVO,CervoMed Inc.,85.72M,9.85,7.78M
1259,CRVS,"Corvus Pharmaceuticals, Inc.",332.36M,4.31,-
1260,CRWD,"CrowdStrike Holdings, Inc.",105.80B,424.49,4.14B
1261,CRWS,"Crown Crafts, Inc.",30.01M,2.84,87.25M
1262,CRWV,"CoreWeave, Inc.",62.18B,129.55,2.71B
1263,CSAN,Cosan S.A.,1.99B,4.26,7.63B
1264,CSBR,"Champions Oncology, Inc.",84.87M,6.16,56.94M
1265,CSCI,COSCIENS Biopharma Inc.,11.24M,3.595,9.03M
1266,CSCO,"Cisco Systems, Inc.",284.29B,71.79,55.62B
1267,CSGP,"CoStar Group, Inc.",40.03B,94.5,2.92B
1268,CSGS,"CSG Systems International, Inc.",1.78B,64.53,1.21B
1269,CSIQ,Canadian Solar Inc.,780.77M,11.66,5.86B
1270,CSL,Carlisle Companies Incorporated,15.63B,366.57,5.00B
1271,CSPI,CSP Inc.,107.99M,11,54.96M
1272,CSR,Centerspace,948.45M,53.51,267.08M
1273,CSTE,Caesarstone Ltd.,55.63M,1.61,406.18M
1274,CSTL,"Castle Biosciences, Inc.",561.60M,19.36,346.27M
1275,CSTM,Constellium SE,1.88B,13.48,7.61B
1276,CSV,"Carriage Services, Inc.",755.77M,48.16,407.60M
1277,CSW,"CSW Industrials, Inc.",4.39B,261.56,915.77M
1278,CSWC,Capital Southwest Corporation,1.26B,22.9,209.03M
1279,CSX,CSX Corporation,66.05B,35.43,14.16B
1280,CTAS,Cintas Corporation,91.18B,226.27,10.34B
1281,CTBI,"Community Trust Bancorp, Inc.",969.34M,53.63,253.84M
1282,CTEV,Claritev Corporation,935.78M,56.81,935.54M
1283,CTGO,"Contango Ore, Inc.",241.07M,19.9,-
1284,CTKB,"Cytek Biosciences, Inc.",512.71M,4.03,196.04M
1285,CTLP,"Cantaloupe, Inc.",798.36M,10.91,292.64M
1286,CTM,"Castellum, Inc.",116.24M,1.28,45.09M
1287,CTMX,"CytomX Therapeutics, Inc.",370.23M,2.35,141.10M
1288,CTNM,"Contineum Therapeutics, Inc.",167.39M,6.47,-
1289,CTNT,Cheetah Net Supply Chain Service Inc.,5.12M,1.59,1.12M
1290,CTO,"CTO Realty Growth, Inc.",538.23M,16.34,141.00M
1291,CTOR,"Citius Oncology, Inc.",154.19M,1.81,-
1292,CTOS,"Custom Truck One Source, Inc.",1.29B,5.7,1.90B
1293,CTRA,Coterra Energy Inc.,18.33B,24.02,6.23B
1294,CTRE,"CareTrust REIT, Inc.",6.59B,32.9,373.42M
1295,CTRI,"Centuri Holdings, Inc.",1.77B,19.98,2.71B
1296,CTRM,Castor Maritime Inc.,20.48M,2.12,66.24M
1297,CTRN,"Citi Trends, Inc.",251.22M,31.52,768.52M
1298,CTS,CTS Corporation,1.15B,39.18,520.94M
1299,CTSH,Cognizant Technology Solutions Corporation,33.98B,69.58,20.49B
1300,CTSO,Cytosorbents Corporation,62.61M,1,36.11M
1301,CTVA,"Corteva, Inc.",48.37B,70.91,17.18B
1302,CTW,CTW Cayman,169.73M,2.72,76.19M
1303,CTXR,"Citius Pharmaceuticals, Inc.",13.74M,1.23,-
1304,CUB,Lionheart Holdings,322.00M,10.5,-
1305,CUBE,CubeSmart,8.90B,38.83,1.10B
1306,CUBI,"Customers Bancorp, Inc.",1.98B,62.64,596.46M
1307,CUE,"Cue Biopharma, Inc.",63.11M,0.838,7.99M
1308,CULP,"Culp, Inc.",53.50M,4.26,213.24M
1309,CUPR,Cuprina Holdings (Cayman) Limited,176.10M,8.21,35.41K
1310,CURB,Curbline Properties Corp.,2.32B,22.07,144.78M
1311,CURI,CuriosityStream Inc.,256.05M,4.42,60.84M
1312,CURR,CURRENC Group Inc.,115.65M,1.52,41.09M
1313,CURV,Torrid Holdings Inc.,221.70M,2.11,1.09B
1314,CUZ,Cousins Properties Incorporated,4.48B,26.7,917.94M
1315,CV,"CapsoVision, Inc.",182.64M,3.93,12.04M
1316,CVAC,CureVac N.V.,1.22B,5.44,566.04M
1317,CVBF,CVB Financial Corp.,2.59B,18.8,508.00M
1318,CVCO,"Cavco Industries, Inc.",3.60B,453.65,2.09B
1319,CVE,Cenovus Energy Inc.,26.80B,14.87,38.31B
1320,CVEO,Civeo Corporation,292.83M,23.33,634.03M
1321,CVGI,"Commercial Vehicle Group, Inc.",61.53M,1.77,676.82M
1322,CVGW,"Calavo Growers, Inc.",491.06M,27.51,694.49M
1323,CVI,"CVR Energy, Inc.",2.62B,26.02,7.19B
1324,CVKD,"Cadrenal Therapeutics, Inc.",22.82M,11.15,-
1325,CVLG,"Covenant Logistics Group, Inc.",613.71M,23.11,1.14B
1326,CVLT,"Commvault Systems, Inc.",8.16B,183.53,1.05B
1327,CVM,CEL-SCI Corporation,50.75M,7.44,-
1328,CVNA,Carvana Co.,75.80B,347.56,16.27B
1329,CVR,Chicago Rivet & Machine Co.,12.57M,13.01,25.62M
1330,CVRX,"CVRx, Inc.",188.42M,7.21,54.65M
1331,CVS,CVS Health Corporation,83.13B,65.54,384.33B
1332,CVU,"CPI Aerostructures, Inc.",41.99M,3.23,77.40M
1333,CVV,CVD Equipment Corporation,24.84M,3.61,30.27M
1334,CVX,Chevron Corporation,317.37B,155.01,189.27B
1335,CW,Curtiss-Wright Corporation,17.80B,472.43,3.31B
1336,CWAN,"Clearwater Analytics Holdings, Inc.",5.93B,19.72,551.09M
1337,CWBC,Community West Bancshares,360.04M,18.82,132.83M
1338,CWCO,Consolidated Water Co. Ltd.,466.20M,29.45,127.99M
1339,CWD,CaliberCos Inc.,3.44M,2.6,35.43M
1340,CWEN,"Clearway Energy, Inc.",3.49B,30.15,1.43B
1341,CWH,"Camping World Holdings, Inc.",1.51B,14.76,6.32B
1342,CWK,Cushman & Wakefield plc,3.17B,13.69,9.74B
1343,CWST,"Casella Waste Systems, Inc.",6.29B,99.08,1.72B
1344,CWT,California Water Service Group,2.79B,46.78,990.69M
1345,CX,"CEMEX, S.A.B. de C.V.",12.54B,8.62,15.68B
1346,CXAI,CXApp Inc.,19.06M,0.917,6.55M
1347,CXDO,"Crexendo, Inc.",181.32M,6.01,64.48M
1348,CXM,"Sprinklr, Inc.",2.10B,8.12,805.94M
1349,CXT,"Crane NXT, Co.",3.48B,60.59,1.54B
1350,CXW,"CoreCivic, Inc.",2.20B,20.5,2.00B
1351,CYBN,Cybin Inc.,171.60M,7.45,-
1352,CYBR,CyberArk Software Ltd.,20.15B,399.76,1.20B
1353,CYCC,"Cyclacel Pharmaceuticals, Inc.",13.91M,8.78,14.00K
1354,CYCN,"Cyclerion Therapeutics, Inc.",7.34M,2.35,2.17M
1355,CYCU,"Cycurion, Inc.",11.39M,0.362,17.40M
1356,CYD,China Yuchai International Limited,1.08B,28.75,3.16B
1357,CYH,"Community Health Systems, Inc.",333.13M,2.49,12.65B
1358,CYN,Cyngn Inc.,46.46M,6.6,434.84K
1359,CYRX,"Cryoport, Inc.",379.04M,7.56,237.88M
1360,CYTK,"Cytokinetics, Incorporated",4.07B,34.11,85.74M
1361,CZFS,"Citizens Financial Services, Inc.",256.93M,53,103.86M
1362,CZNC,Citizens & Northern Corporation,289.97M,18.69,108.31M
1363,CZR,"Caesars Entertainment, Inc.",5.00B,24.04,11.37B
1364,CZWI,"Citizens Community Bancorp, Inc.",150.08M,15.05,58.01M
1365,D,"Dominion Energy, Inc.",52.75B,61.81,15.23B
1366,DAAQ,Digital Asset Acquisition Corp.,237.59M,10.85,-
1367,DAC,Danaos Corporation,1.73B,94.63,1.03B
1368,DAIC,"CID HoldCo, Inc.",138.74M,5.02,446.61K
1369,DAIO,Data I/O Corporation,30.28M,3.23,22.73M
1370,DAKT,"Daktronics, Inc.",834.93M,16.96,756.48M
1371,DAL,"Delta Air Lines, Inc.",34.79B,53.64,61.93B
1372,DALN,DallasNews Corporation,79.22M,14.8,121.12M
1373,DAN,Dana Incorporated,2.56B,17.54,9.90B
1374,DAO,"Youdao, Inc.",1.05B,8.78,762.40M
1375,DAR,Darling Ingredients Inc.,4.85B,30.63,5.70B
1376,DARE,"Daré Bioscience, Inc.",16.99M,1.92,25.91K
1377,DASH,"DoorDash, Inc.",110.72B,259.19,11.90B
1378,DATS,"DatChat, Inc.",13.17M,2.655,388
1379,DAVA,Endava plc,741.66M,12.49,1.01B
1380,DAVE,Dave Inc.,2.47B,183.02,433.07M
1381,DAWN,"Day One Biopharmaceuticals, Inc.",624.83M,6.1,187.64M
1382,DAY,Dayforce Inc.,8.17B,51.17,1.85B
1383,DB,Deutsche Bank Aktiengesellschaft,69.61B,36.26,35.32B
1384,DBD,"Diebold Nixdorf, Incorporated",2.20B,59.99,3.67B
1385,DBI,Designer Brands Inc.,142.08M,2.91,2.95B
1386,DBRG,"DigitalBridge Group, Inc.",1.97B,10.49,178.46M
1387,DBVT,DBV Technologies S.A.,276.98M,10,3.80M
1388,DBX,"Dropbox, Inc.",7.57B,26.91,2.53B
1389,DC,Dakota Gold Corp.,458.07M,4.08,-
1390,DCBO,Docebo Inc.,905.68M,30.56,230.50M
1391,DCGO,DocGo Inc.,153.48M,1.57,435.97M
1392,DCI,"Donaldson Company, Inc.",8.40B,72.11,3.65B
1393,DCO,Ducommun Incorporated,1.33B,89.36,795.08M
1394,DCOM,"Dime Community Bancshares, Inc.",1.21B,27.46,314.17M
1395,DCTH,"Delcath Systems, Inc.",350.16M,10.01,70.24M
1396,DD,"DuPont de Nemours, Inc.",29.51B,70.47,12.61B
1397,DDC,DDC Enterprise Limited,110.83M,12.07,37.45M
1398,DDD,3D Systems Corporation,242.81M,1.78,431.76M
1399,DDI,"DoubleDown Interactive Co., Ltd.",461.84M,9.32,336.68M
1400,DDL,Dingdong (Cayman) Limited,458.61M,2.14,3.24B
1401,DDOG,"Datadog, Inc.",45.21B,130.91,3.02B
1402,DDS,"Dillard's, Inc.",7.35B,471.06,6.56B
1403,DE,Deere & Company,138.22B,510.37,45.38B
1404,DEA,"Easterly Government Properties, Inc.",1.11B,22.07,322.86M
1405,DEC,Diversified Energy Company PLC,1.15B,14.56,758.80M
1406,DECK,Deckers Outdoor Corporation,15.08B,101.68,5.12B
1407,DEFT,DeFi Technologies Inc.,875.09M,2.61,38.37M
1408,DEI,"Douglas Emmett, Inc.",2.93B,14.43,1.00B
1409,DELL,Dell Technologies Inc.,93.08B,137.61,96.70B
1410,DENN,Denny's Corporation,186.94M,3.63,455.73M
1411,DEO,Diageo plc,60.42B,109.47,20.25B
1412,DERM,Journey Medical Corporation,176.35M,7.6,56.24M
1413,DEVS,DevvStream Corp.,10.02M,2.83,10.16K
1414,DFDV,DeFi Development Corp.,328.40M,15.68,1.98M
1415,DFH,"Dream Finders Homes, Inc.",2.41B,25.98,4.71B
1416,DFIN,"Donnelley Financial Solutions, Inc.",1.43B,51.92,755.00M
1417,DFLI,Dragonfly Energy Holdings Corp.,14.46M,0.234,51.50M
1418,DG,Dollar General Corporation,25.60B,116.32,41.13B
1419,DGICA,Donegal Group Inc.,617.40M,16.92,993.64M
1420,DGICB,Donegal Group Inc.,602.50M,14.24,993.64M
1421,DGII,Digi International Inc.,1.18B,31.78,420.94M
1422,DGLY,"Digital Ally, Inc.",3.07M,1.78,18.60M
1423,DGNX,Diginex Limited,1.01B,44.1,2.04M
1424,DGX,Quest Diagnostics Incorporated,19.79B,176.96,10.52B
1425,DGXX,Digi Power X Inc.,121.71M,2.97,33.32M
1426,DH,Definitive Healthcare Corp.,564.87M,3.84,244.93M
1427,DHAI,"DIH Holding US, Inc.",11.12M,0.269,69.57M
1428,DHC,Diversified Healthcare Trust,811.15M,3.38,1.52B
1429,DHI,"D.R. Horton, Inc.",46.66B,156.5,34.58B
1430,DHIL,"Diamond Hill Investment Group, Inc.",388.09M,142.65,151.28M
1431,DHR,Danaher Corporation,143.61B,200.56,24.01B
1432,DHT,"DHT Holdings, Inc.",1.84B,11.43,557.64M
1433,DHX,"DHI Group, Inc.",109.16M,2.42,134.40M
1434,DIBS,"1stdibs.Com, Inc.",94.60M,2.61,88.64M
1435,DIN,"Dine Brands Global, Inc.",323.89M,21.06,845.37M
1436,DINO,HF Sinclair Corporation,8.15B,43.55,26.86B
1437,DIOD,Diodes Incorporated,2.36B,50.92,1.39B
1438,DIS,The Walt Disney Company,202.14B,112.43,94.54B
1439,DIT,AMCON Distributing Company,70.60M,109.38,2.25B
1440,DJCO,Daily Journal Corporation,566.41M,411.88,73.25M
1441,DJT,Trump Media & Technology Group Corp.,4.71B,16.99,3.72M
1442,DK,"Delek US Holdings, Inc.",1.24B,20.65,10.82B
1443,DKI,Darkiris Inc.,95.90M,5.48,10.20M
1444,DKL,"Delek Logistics Partners, LP",2.32B,43.47,920.21M
1445,DKNG,DraftKings Inc.,21.27B,42.88,5.41B
1446,DKS,"DICK'S Sporting Goods, Inc.",16.91B,211.24,13.60B
1447,DLB,"Dolby Laboratories, Inc.",6.95B,72.56,1.35B
1448,DLHC,DLH Holdings Corp.,79.13M,5.5,359.72M
1449,DLNG,Dynagas LNG Partners LP,131.64M,3.6,157.46M
1450,DLO,DLocal Limited,3.13B,10.97,778.30M
1451,DLPN,"Dolphin Entertainment, Inc.",12.51M,1.12,48.62M
1452,DLR,"Digital Realty Trust, Inc.",59.01B,169.91,5.69B
1453,DLTH,Duluth Holdings Inc.,87.93M,2.34,612.65M
1454,DLTR,"Dollar Tree, Inc.",24.23B,116.12,18.05B
1455,DLX,Deluxe Corporation,856.32M,19.14,2.11B
1456,DLXY,Delixy Holdings Limited,78.23M,4.68,314.92M
1457,DMAA,Drugs Made In America Acquisition Corp.,343.72M,10.26,-
1458,DMAC,DiaMedica Therapeutics Inc.,241.39M,4.68,-
1459,DMLP,"Dorchester Minerals, L.P.",1.23B,25.83,161.86M
1460,DMRC,Digimarc Corporation,241.25M,11.2,37.85M
1461,DMYY,"dMY Squared Technology Group, Inc.",48.98M,12.5,-
1462,DNA,"Ginkgo Bioworks Holdings, Inc.",719.36M,12.29,230.82M
1463,DNB,"Dun & Bradstreet Holdings, Inc.",4.07B,9.11,2.40B
1464,DNLI,Denali Therapeutics Inc.,2.03B,13.96,-
1465,DNN,Denison Mines Corp.,1.91B,2.12,3.31M
1466,DNOW,DNOW Inc.,1.57B,14.97,2.40B
1467,DNP,DNP Select Income Fund Inc.,3.63B,9.82,154.89M
1468,DNTH,"Dianthus Therapeutics, Inc.",605.25M,18.82,4.85M
1469,DNUT,"Krispy Kreme, Inc.",526.57M,3.08,1.54B
1470,DOC,"Healthpeak Properties, Inc.",12.04B,16.96,2.80B
1471,DOCN,"DigitalOcean Holdings, Inc.",3.01B,33.05,832.81M
1472,DOCS,"Doximity, Inc.",12.47B,66.58,589.64M
1473,DOCU,"DocuSign, Inc.",13.98B,69.19,3.03B
1474,DOGZ,Dogness (International) Corporation,95.48M,7.5,20.26M
1475,DOLE,Dole plc,1.39B,14.63,8.45B
1476,DOMH,Dominari Holdings Inc.,83.91M,5.73,24.89M
1477,DOMO,"Domo, Inc.",642.55M,15.97,317.05M
1478,DOOO,BRP Inc.,3.75B,51.27,5.56B
1479,DORM,"Dorman Products, Inc.",4.26B,139.57,2.09B
1480,DOUG,Douglas Elliman Inc.,198.71M,2.24,1.03B
1481,DOV,Dover Corporation,23.80B,173.52,7.83B
1482,DOW,Dow Inc.,15.04B,21.22,41.82B
1483,DOX,Amdocs Limited,9.94B,89.41,4.65B
1484,DOYU,DouYu International Holdings Limited,225.74M,7.47,575.79M
1485,DPRO,Draganfly Inc.,106.52M,4.98,4.72M
1486,DPZ,"Domino's Pizza, Inc.",14.94B,440.04,4.78B
1487,DQ,Daqo New Energy Corp.,1.42B,21.21,737.68M
1488,DRCT,"Direct Digital Holdings, Inc.",9.57M,0.425,36.46M
1489,DRD,DRDGOLD Limited,1.32B,15.29,374.32M
1490,DRDB,Roman DBDR Acquisition Corp. II,314.95M,10.27,-
1491,DRH,DiamondRock Hospitality Company,1.57B,7.58,1.12B
1492,DRI,"Darden Restaurants, Inc.",23.64B,202,12.08B
1493,DRIO,DarioHealth Corp.,24.57M,0.54,28.03M
1494,DRMA,"Dermata Therapeutics, Inc.",4.12M,6.46,-
1495,DRRX,DURECT Corporation,58.05M,1.87,1.86M
1496,DRS,"Leonardo DRS, Inc.",11.04B,41.49,3.42B
1497,DRTS,Alpha Tau Medical Ltd.,287.13M,3.39,-
1498,DRUG,Bright Minds Biosciences Inc.,275.99M,38.75,-
1499,DRVN,Driven Brands Holdings Inc.,2.72B,16.56,2.41B
1500,DSGN,"Design Therapeutics, Inc.",242.40M,4.27,-
1501,DSGR,"Distribution Solutions Group, Inc.",1.42B,30.91,1.93B
1502,DSGX,The Descartes Systems Group Inc.,8.69B,101.25,668.39M
1503,DSL,DoubleLine Income Solutions Fund,1.37B,12.3,-
1504,DSP,Viant Technology Inc.,780.21M,12.46,306.48M
1505,DSS,"DSS, Inc.",7.82M,0.86,20.18M
1506,DSWL,"Deswell Industries, Inc.",47.71M,2.994,67.61M
1507,DSX,Diana Shipping Inc.,171.10M,1.56,224.19M
1508,DSY,Big Tree Cloud Holdings Limited,69.07M,1.21,7.32M
1509,DT,"Dynatrace, Inc.",13.94B,46.24,1.78B
1510,DTCK,Davis Commodities Limited,19.58M,0.799,132.37M
1511,DTE,DTE Energy Company,29.12B,140.26,14.20B
1512,DTI,Drilling Tools International Corporation,74.39M,2.09,160.35M
1513,DTIL,"Precision BioSciences, Inc.",50.97M,4.38,1.26M
1514,DTM,"DT Midstream, Inc.",10.62B,104.58,1.11B
1515,DTSQ,DT Cloud Star Acquisition Corporation,92.66M,10.41,-
1516,DTSS,Datasea Inc.,14.16M,1.86,56.26M
1517,DTST,Data Storage Corporation,33.49M,4.69,25.22M
1518,DUK,Duke Energy Corporation,97.45B,125.32,30.85B
1519,DUO,Fangdd Network Group Ltd.,6.56M,1.68,46.46M
1520,DUOL,"Duolingo, Inc.",16.96B,370.34,885.15M
1521,DUOT,"Duos Technologies Group, Inc.",123.28M,6.37,11.16M
1522,DV,"DoubleVerify Holdings, Inc.",2.43B,14.88,714.26M
1523,DVA,DaVita Inc.,9.26B,129.5,13.16B
1524,DVAX,Dynavax Technologies Corporation,1.24B,10.33,316.27M
1525,DVLT,Datavault AI Inc.,41.06M,0.42,3.05M
1526,DVN,Devon Energy Corporation,21.13B,33.28,16.11B
1527,DVS,Dolly Varden Silver Corporation,334.61M,3.58,-
1528,DWSN,Dawson Geophysical Company,42.14M,1.36,58.65M
1529,DWTX,"Dogwood Therapeutics, Inc.",9.35M,4.76,-
1530,DX,"Dynex Capital, Inc.",1.61B,12.42,107.76M
1531,DXC,DXC Technology Company,2.35B,13.14,12.79B
1532,DXCM,"DexCom, Inc.",30.93B,78.86,4.30B
1533,DXF,Eason Technology Limited,1.12M,4.48,-56.60M
1534,DXLG,"Destination XL Group, Inc.",64.58M,1.23,457.06M
1535,DXPE,"DXP Enterprises, Inc.",1.73B,110.01,1.92B
1536,DXR,Daxor Corporation,49.72M,10.02,119.71K
1537,DXST,Decent Holding Inc.,19.18M,1.18,11.54M
1538,DY,"Dycom Industries, Inc.",8.07B,279.13,4.82B
1539,DYAI,"Dyadic International, Inc.",33.91M,0.92,3.55M
1540,DYCQ,DT Cloud Acquisition Corporation,74.11M,10.95,-
1541,DYN,"Dyne Therapeutics, Inc.",1.59B,11.17,-
1542,DYNX,Dynamix Corporation,247.45M,11.18,-
1543,E,Eni S.p.A.,52.36B,34.64,102.20B
1544,EA,Electronic Arts Inc.,41.94B,167.64,7.47B
1545,EAF,GrafTech International Ltd.,327.85M,1.27,508.55M
1546,EARN,Ellington Credit Company,211.46M,5.63,35.89M
1547,EAT,"Brinker International, Inc.",6.76B,151.97,5.13B
1548,EB,"Eventbrite, Inc.",243.56M,2.54,300.86M
1549,EBAY,eBay Inc.,42.56B,93.14,10.47B
1550,EBC,"Eastern Bankshares, Inc.",3.03B,15.25,549.63M
1551,EBF,"Ennis, Inc.",468.44M,18.16,388.71M
1552,EBMT,"Eagle Bancorp Montana, Inc.",126.52M,15.92,84.70M
1553,EBON,Ebang International Holdings Inc.,26.31M,3.96,5.87M
1554,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,18.54B,8.17,8.02B
1555,EBS,Emergent BioSolutions Inc.,457.22M,8.57,851.60M
1556,EC,Ecopetrol S.A.,17.78B,8.55,31.81B
1557,ECBK,"ECB Bancorp, Inc.",140.91M,15.85,27.80M
1558,ECC,Eagle Point Credit Company Inc.,748.74M,6.23,191.30M
1559,ECDA,"ECD Automotive Design, Inc.",7.04M,0.148,24.60M
1560,ECG,"Everus Construction Group, Inc.",3.64B,71.42,3.05B
1561,ECL,Ecolab Inc.,77.36B,272.87,15.72B
1562,ECO,Okeanis Eco Tankers Corp.,805.41M,24.44,362.25M
1563,ECOR,"electroCore, Inc.",35.04M,4.62,27.70M
1564,ECPG,"Encore Capital Group, Inc.",902.06M,39.2,1.47B
1565,ECVT,Ecovyst Inc.,967.98M,8.46,723.46M
1566,ECX,ECARX Holdings Inc.,574.63M,1.55,805.60M
1567,ED,"Consolidated Edison, Inc.",37.64B,104.48,16.15B
1568,EDAP,EDAP TMS S.A.,46.55M,1.245,67.84M
1569,EDBL,Edible Garden AG Incorporated,6.70M,2.37,13.44M
1570,EDHL,Everbright Digital Holding Limited,15.46M,0.58,2.76M
1571,EDIT,"Editas Medicine, Inc.",185.01M,2.21,35.84M
1572,EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,1.25B,28.26,2.10B
1573,EDRY,EuroDry Ltd.,28.55M,10.5,55.87M
1574,EDSA,"Edesa Biotech, Inc.",14.90M,2.12,-
1575,EDTK,Skillful Craftsman Education Technology Limited,15.88M,0.997,624.37K
1576,EDU,New Oriental Education & Technology Group Inc.,7.45B,45.58,4.90B
1577,EDUC,Educational Development Corporation,10.81M,1.255,31.30M
1578,EE,"Excelerate Energy, Inc.",2.77B,24.32,966.41M
1579,EEFT,"Euronet Worldwide, Inc.",3.76B,91.59,4.14B
1580,EEIQ,EpicQuest Education Group International Limited,10.17M,0.578,8.15M
1581,EEX,"Emerald Holding, Inc.",952.25M,4.81,432.60M
1582,EFC,Ellington Financial Inc.,1.24B,12.98,306.93M
1583,EFOI,"Energy Focus, Inc.",10.35M,1.93,4.64M
1584,EFSC,Enterprise Financial Services Corp,2.02B,54.58,637.58M
1585,EFSI,"Eagle Financial Services, Inc.",175.33M,33.09,61.73M
1586,EFTY,"Etoiles Capital Group Co., Ltd",97.11M,4.88,2.53M
1587,EFX,Equifax Inc.,29.69B,239.81,5.84B
1588,EFXT,Enerflex Ltd.,1.13B,9.11,2.33B
1589,EG,"Everest Group, Ltd.",13.83B,329.8,17.72B
1590,EGAN,eGain Corporation,157.54M,5.87,87.66M
