Number,Symbol,Company Name,Market Cap,Stock Price,Revenue
95,ADSK,"Autodesk, Inc.",62.19B,290.68,6.35B
96,ADT,ADT Inc.,6.94B,8.42,5.06B
97,ADTN,"ADTRAN Holdings, Inc.",685.40M,8.59,983.37M
98,ADTX,"Aditxt, Inc.",141.20M,1.19,55.32K
99,ADUR,Aduro Clean Technologies Inc.,351.10M,11.38,179.33K
100,ADUS,Addus HomeCare Corporation,2.00B,110.19,1.27B
101,ADV,Advantage Solutions Inc.,598.30M,1.84,3.53B
102,ADVB,Advanced Biomed Inc.,8.22M,0.38,-
103,ADVM,"Adverum Biotechnologies, Inc.",47.84M,2.29,1.00M
104,ADXN,Addex Therapeutics Ltd,6.87M,7.79,278.51K
105,AEBI,Aebi Schmidt Holding AG,862.91M,11.12,1.08B
106,AEE,Ameren Corporation,27.42B,101.39,8.12B
107,AEG,Aegon Ltd.,11.62B,7.38,13.29B
108,AEHL,Antelope Enterprise Holdings Limited,2.51M,2.14,98.77M
109,AEHR,"Aehr Test Systems, Inc.",544.45M,18.2,58.97M
110,AEI,Alset Inc.,45.98M,1.17,16.10M
111,AEIS,"Advanced Energy Industries, Inc.",5.68B,150.9,1.64B
112,AEM,Agnico Eagle Mines Limited,68.12B,135.61,9.66B
113,AEMD,"Aethlon Medical, Inc.",2.47M,1.23,-
114,AENT,Alliance Entertainment Holding Corporation,254.79M,4.98,1.07B
115,AEO,"American Eagle Outfitters, Inc.",2.16B,12.44,5.27B
116,AEON,"AEON Biopharma, Inc.",7.95M,0.703,-
117,AEP,"American Electric Power Company, Inc.",60.16B,112.5,20.67B
118,AER,AerCap Holdings N.V.,19.21B,110.24,7.98B
119,AERT,"Aeries Technology, Inc",36.56M,0.797,70.20M
120,AES,The AES Corporation,9.34B,13.12,12.03B
121,AESI,Atlas Energy Solutions Inc.,1.45B,11.7,1.16B
122,AEVA,"Aeva Technologies, Inc.",742.40M,13.18,13.83M
123,AEYE,"AudioEye, Inc.",125.83M,10.1,38.24M
124,AFBI,"Affinity Bancshares, Inc.",119.23M,18.94,31.42M
125,AFCG,Advanced Flower Capital Inc.,101.00M,4.5,41.04M
126,AFG,"American Financial Group, Inc.",10.80B,129.34,8.04B
127,AFJK,"Aimei Health Technology Co., Ltd",68.62M,11.21,-
128,AFL,Aflac Incorporated,55.37B,103.52,15.91B
129,AFRI,Forafric Global PLC,208.49M,7.75,274.22M
130,AFRM,"Affirm Holdings, Inc.",23.33B,72.33,3.01B
131,AFYA,Afya Limited,1.33B,14.75,599.36M
132,AG,First Majestic Silver Corp.,4.17B,8.61,698.53M
133,AGAE,Allied Gaming & Entertainment Inc.,59.69M,1.57,8.98M
134,AGCO,AGCO Corporation,8.18B,109.6,10.17B
135,AGEN,Agenus Inc.,131.60M,4.8,99.52M
136,AGFY,Agrify Corporation,50.54M,25.89,9.27M
137,AGH,Aureus Greenway Holdings Inc.,36.64M,2.64,3.07M
138,AGI,Alamos Gold Inc.,11.05B,26.18,1.51B
139,AGIO,"Agios Pharmaceuticals, Inc.",2.08B,35.76,40.88M
140,AGL,"agilon health, inc.",362.04M,0.874,5.90B
141,AGM,Federal Agricultural Mortgage Corporation,1.94B,177.64,368.97M
142,AGM.A,Federal Agricultural Mortgage Corporation,1.89B,129.98,368.97M
143,AGMH,AGM Group Holdings Inc.,4.34M,2.2,32.04M
144,AGNC,AGNC Investment Corp.,9.84B,9.45,496.00M
145,AGNCM,AGNC Investment Corp.,9.84B,25.13,496.00M
146,AGO,Assured Guaranty Ltd.,3.94B,81.89,891.00M
147,AGRI,AgriFORCE Growing Systems Ltd.,5.24M,3.13,412.30K
148,AGRO,Adecoagro S.A.,907.94M,9.08,1.58B
149,AGX,"Argan, Inc.",3.26B,239.02,910.16M
150,AGYS,"Agilysys, Inc.",2.89B,103.75,288.79M
151,AHCO,AdaptHealth Corp.,1.21B,9.19,3.24B
152,AHG,Akso Health Group,616.17M,1.71,8.45M
153,AHH,"Armada Hoffler Properties, Inc.",720.44M,6.95,544.17M
154,AHL,Aspen Insurance Holdings Limited,2.65B,28.83,3.16B
155,AHR,"American Healthcare REIT, Inc.",6.54B,40.51,2.14B
156,AHT,"Ashford Hospitality Trust, Inc.",37.99M,6.3,1.13B
157,AI,"C3.ai, Inc.",2.97B,22.13,389.06M
158,AIFF,"Firefly Neuroscience, Inc.",38.46M,2.9,139.00K
159,AIFU,AIFU Inc.,39.12M,7.25,247.82M
160,AIG,"American International Group, Inc.",43.74B,78.13,27.43B
161,AIHS,Senmiao Technology Limited,2.38M,2.15,3.39M
162,AII,"American Integrity Insurance Group, Inc.",343.88M,17.57,231.93M
163,AIMD,"Ainos, Inc.",13.21M,3.18,106.21K
164,AIN,Albany International Corp.,1.80B,60.94,1.19B
165,AIOT,"PowerFleet, Inc.",516.43M,3.87,362.52M
166,AIP,"Arteris, Inc.",396.64M,9.3,63.24M
167,AIR,AAR Corp.,2.65B,74.79,2.78B
168,AIRE,reAlpha Tech Corp.,28.39M,0.339,1.85M
169,AIRG,"Airgain, Inc.",52.13M,4.42,56.82M
170,AIRI,Air Industries Group,12.53M,3.33,53.18M
171,AIRJ,AirJoule Technologies Corporation,268.65M,4.46,-
172,AIRO,"AIRO Group Holdings, Inc.",536.31M,20.49,84.99M
173,AIRS,"AirSculpt Technologies, Inc.",389.60M,6.24,165.11M
174,AIRT,"Air T, Inc.",56.94M,21.07,291.85M
175,AISP,"Airship AI Holdings, Inc.",152.85M,4.79,13.72M
176,AISPW,"Airship AI Holdings, Inc.",152.85M,1.45,13.72M
177,AIT,"Applied Industrial Technologies, Inc.",10.02B,263.13,4.50B
178,AIV,Apartment Investment and Management Company,1.23B,8.04,210.83M
179,AIXI,Xiao-I Corporation,17.09M,1.62,70.31M
180,AIZ,"Assurant, Inc.",10.31B,203.27,12.30B
181,AJG,Arthur J. Gallagher & Co.,74.20B,289.44,11.55B
182,AKA,a.k.a. Brands Holding Corp.,129.86M,12.12,598.11M
183,AKAM,"Akamai Technologies, Inc.",10.08B,70.53,4.08B
184,AKAN,Akanda Corp.,2.69M,1.19,836.66K
185,AKBA,"Akebia Therapeutics, Inc.",906.80M,3.42,203.73M
186,AKO.A,Embotelladora Andina S.A.,3.32B,18.54,3.60B
187,AKO.B,Embotelladora Andina S.A.,3.32B,23.16,3.60B
188,AKR,Acadia Realty Trust,2.51B,18.42,391.85M
189,AKRO,"Akero Therapeutics, Inc.",4.02B,50.46,-
190,AKTX,"Akari Therapeutics, Plc",32.29M,0.99,-
191,AL,Air Lease Corporation,6.21B,55.52,2.87B
192,ALAB,"Astera Labs, Inc.",29.80B,179.28,605.55M
193,ALAR,Alarum Technologies Ltd.,106.01M,14.59,30.58M
194,ALB,Albemarle Corporation,8.88B,75.48,4.99B
195,ALB.PRA,Albemarle Corporation,8.88B,36.81,4.99B
196,ALBT,Avalon GloboCare Corp.,7.70M,2.22,807.24K
197,ALC,Alcon Inc.,42.44B,85.75,9.93B
198,ALCO,"Alico, Inc.",245.62M,32.15,49.42M
199,ALCY,Alchemy Investments Acquisition Corp 1,52.53M,11.59,-
200,ALDF,Aldel Financial II Inc.,374.34M,10.39,-
201,ALDX,"Aldeyra Therapeutics, Inc.",315.05M,5.26,-
202,ALE,"ALLETE, Inc.",3.81B,65.61,1.53B
203,ALEC,"Alector, Inc.",214.98M,2.15,81.13M
204,ALEX,"Alexander & Baldwin, Inc.",1.32B,18.21,238.31M
205,ALF,Centurion Acquisition Corp.,378.46M,10.56,-
206,ALG,Alamo Group Inc.,2.70B,222.58,1.60B
207,ALGM,"Allegro MicroSystems, Inc.",5.69B,30.77,761.49M
208,ALGN,"Align Technology, Inc.",10.14B,139.88,3.96B
209,ALGS,"Aligos Therapeutics, Inc.",47.30M,7.59,3.17M
210,ALGT,Allegiant Travel Company,868.33M,48.94,2.58B
211,ALHC,"Alignment Healthcare, Inc.",2.87B,14.51,3.34B
212,ALIT,"Alight, Inc.",2.02B,3.81,2.31B
213,ALK,"Alaska Air Group, Inc.",6.03B,52.28,13.45B
214,ALKS,Alkermes plc,4.41B,26.71,1.51B
215,ALKT,"Alkami Technology, Inc.",2.09B,20.12,385.46M
216,ALL,The Allstate Corporation,54.49B,206.8,66.22B
217,ALLE,Allegion plc,14.05B,163.72,3.88B
218,ALLO,"Allogene Therapeutics, Inc.",227.48M,1.04,22.00K
219,ALLR,"Allarity Therapeutics, Inc.",14.63M,0.97,-
220,ALLT,Allot Ltd.,351.35M,7.44,93.46M
221,ALLY,Ally Financial Inc.,11.54B,37.48,6.85B
222,ALM,Almonty Industries Inc.,898.87M,4.12,20.12M
223,ALMS,Alumis Inc.,443.71M,4.3,17.39M
224,ALMU,"Aeluma, Inc.",327.31M,20.61,3.63M
225,ALNT,Allient Inc.,711.77M,42.05,519.60M
226,ALNY,"Alnylam Pharmaceuticals, Inc.",57.53B,438.93,2.46B
227,ALOT,"AstroNova, Inc.",87.28M,11.49,156.03M
228,ALRM,"Alarm.com Holdings, Inc.",2.72B,54.42,975.87M
229,ALRS,Alerus Financial Corporation,526.72M,20.69,252.13M
230,ALSN,"Allison Transmission Holdings, Inc.",7.34B,87.73,3.20B
231,ALT,"Altimmune, Inc.",279.82M,3.45,20.00K
232,ALTG,Alta Equipment Group Inc.,256.90M,7.74,1.85B
233,ALTI,"AlTi Global, Inc.",661.13M,4.565,214.09M
234,ALTO,"Alto Ingredients, Inc.",81.83M,1.06,933.14M
235,ALTS,ALT5 Sigma Corporation,180.68M,8.97,18.05M
236,ALUR,Allurion Technologies Inc.,19.99M,2.68,28.30M
237,ALV,"Autoliv, Inc.",8.63B,112.4,10.46B
238,ALVO,Alvotech,2.65B,8.46,587.89M
239,ALX,"Alexander's, Inc.",1.14B,222.79,218.09M
240,ALXO,ALX Oncology Holdings Inc.,36.17M,0.677,-
241,ALZN,"Alzamend Neuro, Inc.",7.38M,2.35,-
242,AM,Antero Midstream Corporation,8.82B,18.44,1.22B
243,AMAL,Amalgamated Financial Corp.,839.74M,27.89,304.72M
244,AMAT,"Applied Materials, Inc.",148.36B,184.87,28.09B
245,AMBA,"Ambarella, Inc.",2.74B,64.55,316.26M
246,AMBC,"Ambac Financial Group, Inc.",322.21M,6.94,204.87M
247,AMBI,Ambipar Emergency Response,266.29M,4.804,525.22M
248,AMBO,Ambow Education Holding Ltd.,7.88M,2.76,9.70M
249,AMBP,Ardagh Metal Packaging S.A.,2.25B,3.77,5.23B
250,AMBQ,"Ambiq Micro, Inc.",696.10M,39.47,76.59M
251,AMBR,Amber International Holding Limited,614.56M,6.56,5.04M
252,AMC,"AMC Entertainment Holdings, Inc.",1.27B,2.93,4.55B
253,AMCR,Amcor plc,22.28B,9.67,13.46B
254,AMCX,AMC Networks Inc.,293.38M,6.53,2.35B
255,AMD,"Advanced Micro Devices, Inc.",280.36B,172.76,29.60B
256,AME,"AMETEK, Inc.",42.05B,182.08,6.98B
257,AMED,"Amedisys, Inc.",3.32B,100.94,2.40B
258,AMG,"Affiliated Managers Group, Inc.",6.01B,211.3,2.03B
259,AMGN,Amgen Inc.,155.17B,288.23,34.92B
260,AMH,American Homes 4 Rent,14.52B,34.42,1.80B
261,AMIX,"Autonomix Medical, Inc.",3.34M,1.2,-
262,AMKR,"Amkor Technology, Inc.",5.72B,23.13,6.32B
263,AMLX,"Amylyx Pharmaceuticals, Inc.",681.04M,7.64,-249.00K
264,AMN,"AMN Healthcare Services, Inc.",660.03M,17.24,2.77B
265,AMOD,"Alpha Modus Holdings, Inc.",43.23M,1.05,-
266,AMP,"Ameriprise Financial, Inc.",47.60B,504.96,18.18B
267,AMPG,"AmpliTech Group, Inc.",63.27M,2.91,10.81M
268,AMPH,"Amphastar Pharmaceuticals, Inc.",1.11B,23.81,722.68M
269,AMPL,"Amplitude, Inc.",1.53B,11.53,316.57M
270,AMPX,"Amprius Technologies, Inc.",971.60M,8.06,44.84M
271,AMPY,Amplify Energy Corp.,143.60M,3.56,279.29M
272,AMR,"Alpha Metallurgical Resources, Inc.",1.96B,149.91,2.37B
273,AMRC,"Ameresco, Inc.",1.06B,20.11,1.86B
274,AMRK,"A-Mark Precious Metals, Inc.",542.98M,22.05,10.99B
275,AMRN,Amarin Corporation plc,310.03M,14.92,219.36M
276,AMRX,"Amneal Pharmaceuticals, Inc.",2.68B,8.54,2.85B
277,AMS,American Shared Hospital Services,16.40M,2.542,29.24M
278,AMSC,American Superconductor Corporation,2.30B,50.99,254.89M
279,AMSF,"AMERISAFE, Inc.",849.48M,44.76,306.47M
280,AMST,Amesite Inc.,12.94M,2.83,82.54K
281,AMT,American Tower Corporation,96.70B,206.51,10.26B
282,AMTB,Amerant Bancorp Inc.,786.71M,18.86,305.48M
283,AMTD,AMTD IDEA Group,64.67M,0.94,67.03M
284,AMTM,"Amentum Holdings, Inc.",6.11B,25.13,12.68B
285,AMTX,"Aemetis, Inc.",147.84M,2.67,223.57M
286,AMWD,American Woodmark Corporation,878.03M,60.62,1.71B
287,AMWL,American Well Corporation,115.09M,7.28,269.78M
288,AMX,"América Móvil, S.A.B. de C.V.",57.69B,19.05,49.12B
289,AMZE,"Amaze Holdings, Inc.",23.08M,4.2,254.71K
290,AMZN,"Amazon.com, Inc.","2,374.97B",222.69,670.04B
291,AN,"AutoNation, Inc.",7.40B,196.23,27.46B
292,ANAB,"AnaptysBio, Inc.",588.78M,21.09,123.16M
293,ANDE,"The Andersons, Inc.",1.29B,37.94,11.54B
294,ANEB,"Anebulo Pharmaceuticals, Inc.",98.90M,2.407,-
295,ANET,Arista Networks Inc,174.93B,139.18,7.95B
296,ANF,Abercrombie & Fitch Co.,4.91B,103.11,5.03B
297,ANGH,Anghami Inc.,22.07M,3.3,78.09M
298,ANGI,Angi Inc.,805.70M,18.17,1.09B
299,ANGO,"AngioDynamics, Inc.",345.79M,8.51,292.50M
300,ANIK,"Anika Therapeutics, Inc.",116.93M,8.18,114.55M
301,ANIP,"ANI Pharmaceuticals, Inc.",1.63B,81.48,747.40M
302,ANIX,"Anixa Biosciences, Inc.",95.99M,2.98,-
303,ANL,Adlai Nortye Ltd.,60.15M,1.63,1.94M
304,ANNA,"AleAnna, Inc.",324.53M,4.869,2.06M
305,ANNX,"Annexon, Inc.",258.93M,2.36,-
306,ANPA,Rich Sparkle Holdings Limited,438.63M,35.09,5.88M
307,ANRO,"Alto Neuroscience, Inc.",83.11M,3.07,-
308,ANSC,Agriculture & Natural Solutions Acquisition Corporation,469.63M,10.89,-
309,ANTA,Antalpha Platform Holding Company,289.34M,12.22,51.40M
310,ANTE,AirNet Technology Inc.,33.54M,2.34,343.00K
311,ANTX,"AN2 Therapeutics, Inc.",32.59M,1.08,-
312,ANVS,"Annovis Bio, Inc.",49.69M,2.55,-
313,ANY,Sphere 3D Corp.,13.93M,0.492,10.83M
314,AOMR,"Angel Oak Mortgage REIT, Inc.",216.98M,9.13,57.66M
315,AON,Aon plc,79.01B,366.4,16.75B
316,AORT,"Artivion, Inc.",1.93B,40.95,405.04M
317,AOS,A. O. Smith Corporation,9.93B,70.83,3.79B
318,AOSL,Alpha and Omega Semiconductor Limited,768.70M,25.83,696.16M
319,AOUT,"American Outdoor Brands, Inc.",117.50M,9.21,222.32M
320,AP,Ampco-Pittsburgh Corporation,68.72M,3.42,412.36M
321,APA,APA Corporation,7.18B,20.01,9.80B
322,APAD,A Paradise Acquisition Corp.,268.27M,10.06,-
323,APAM,Artisan Partners Asset Management Inc.,3.72B,46.1,1.14B
324,APD,"Air Products and Chemicals, Inc.",64.26B,288.74,12.06B
325,APDN,"Applied DNA Sciences, Inc.",2.22M,4.27,3.79M
326,APEI,"American Public Education, Inc.",538.94M,29.83,644.55M
327,APG,APi Group Corporation,14.33B,34.46,7.40B
328,APGE,"Apogee Therapeutics, Inc.",2.07B,35.39,-
329,APH,Amphenol Corporation,134.28B,109.98,18.82B
330,API,"Agora, Inc.",358.15M,3.83,133.50M
331,APLD,Applied Digital Corporation,3.71B,14.2,144.19M
332,APLE,"Apple Hospitality REIT, Inc.",2.78B,11.72,1.42B
333,APLM,"Apollomics, Inc.",6.26M,5.68,198.00K
334,APLS,"Apellis Pharmaceuticals, Inc.",3.08B,24.38,754.65M
335,APLT,"Applied Therapeutics, Inc.",60.25M,0.426,265.00K
336,APM,Aptorum Group Limited,9.00M,1.26,-
337,APO,"Apollo Global Management, Inc.",80.32B,141.97,25.18B
338,APO.PRA,"Apollo Global Management, Inc.",80.32B,74.13,25.18B
339,APOG,"Apogee Enterprises, Inc.",893.91M,41.52,1.38B
340,APP,AppLovin Corporation,154.24B,455.98,5.74B
341,APPF,"AppFolio, Inc.",10.16B,283.36,862.67M
342,APPN,Appian Corporation,2.15B,29.09,657.80M
343,APPS,"Digital Turbine, Inc.",471.43M,4.35,503.44M
344,APRE,"Aprea Therapeutics, Inc.",9.40M,1.7,1.28M
345,APT,"Alpha Pro Tech, Ltd.",49.05M,4.71,58.56M
346,APTV,Aptiv PLC,14.57B,66.9,19.79B
347,APUS,"Apimeds Pharmaceuticals US, Inc.",18.41M,1.59,-
348,APVO,Aptevo Therapeutics Inc.,8.38M,2.26,-
349,APWC,Asia Pacific Wire & Cable Corporation Limited,35.45M,1.719,472.67M
350,APYX,Apyx Medical Corporation,82.39M,2.18,46.51M
351,AQB,"AquaBounty Technologies, Inc.",2.90M,0.748,-180.18K
352,AQMS,"Aqua Metals, Inc.",3.58M,3.7,-
353,AQN,Algonquin Power & Utilities Corp.,4.36B,5.69,2.37B
354,AQST,"Aquestive Therapeutics, Inc.",387.38M,3.9,54.23M
355,AR,Antero Resources Corporation,10.14B,32.81,4.87B
356,ARAI,Arrive AI Inc.,233.24M,7.07,-
357,ARAY,Accuray Incorporated,156.57M,1.39,465.25M
358,ARBB,ARB IOT Group Limited,8.83M,5.01,24.43M
359,ARBE,Arbe Robotics Ltd.,134.61M,1.28,536.00K
360,ARBK,Argo Blockchain plc,20.77M,0.321,47.02M
361,ARCB,ArcBest Corporation,1.61B,70.91,4.05B
362,ARCC,Ares Capital Corporation,15.91B,22.56,3.01B
363,ARCO,Arcos Dorados Holdings Inc.,1.44B,6.85,4.47B
364,ARCT,Arcturus Therapeutics Holdings Inc.,323.01M,11.91,143.68M
365,ARDT,"Ardent Health, Inc.",1.70B,11.89,6.20B
366,ARDX,"Ardelyx, Inc.",1.26B,5.21,386.15M
367,ARE,"Alexandria Real Estate Equities, Inc.",12.84B,74.21,3.10B
368,AREB,"American Rebel Holdings, Inc.",9.09M,1.3,9.89M
369,AREC,American Resources Corporation,132.46M,1.61,321.14K
370,AREN,"The Arena Group Holdings, Inc.",321.04M,6.75,128.78M
371,ARES,Ares Management Corporation,61.54B,188.43,4.83B
372,ARGX,argenx SE,40.58B,661.83,3.12B
373,ARHS,"Arhaus, Inc.",1.58B,11.22,1.34B
374,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.39B,10.02,273.78M
375,ARIS,"Aris Water Solutions, Inc.",1.40B,23.62,452.53M
376,ARKO,Arko Corp.,549.06M,4.87,8.13B
377,ARKR,Ark Restaurants Corp.,25.39M,7.04,178.52M
378,ARL,"American Realty Investors, Inc.",209.17M,12.95,49.26M
379,ARLO,"Arlo Technologies, Inc.",1.73B,16.71,507.71M
380,ARLP,"Alliance Resource Partners, L.P.",3.25B,25.29,2.29B
381,ARM,Arm Holdings plc,146.67B,138.5,4.12B
382,ARMK,Aramark,10.41B,39.62,17.87B
383,ARMN,Aris Mining Corporation,1.33B,7.46,646.78M
384,ARMP,"Armata Pharmaceuticals, Inc.",87.22M,2.41,4.70M
385,AROC,"Archrock, Inc.",4.08B,23.22,1.35B
386,AROW,Arrow Financial Corporation,452.81M,26.98,140.42M
387,ARQ,"Arq, Inc.",279.44M,6.62,114.47M
388,ARQQ,Arqit Quantum Inc.,435.76M,32.33,241.00K
389,ARQT,"Arcutis Biotherapeutics, Inc.",1.77B,14.77,263.47M
390,ARR,"ARMOUR Residential REIT, Inc.",1.76B,15.62,20.59M
391,ARRY,"Array Technologies, Inc.",838.25M,5.5,1.17B
392,ARTL,"Artelo Biosciences, Inc.",5.71M,8.35,-
393,ARTNA,Artesian Resources Corporation,346.15M,33.5,110.43M
394,ARTV,"Artiva Biotherapeutics, Inc.",67.24M,2.76,251.00K
395,ARTW,"Art's-Way Manufacturing Co., Inc.",20.13M,3.94,23.52M
396,ARVN,"Arvinas, Inc.",461.80M,6.29,372.80M
397,ARW,"Arrow Electronics, Inc.",6.23B,120.89,28.50B
398,ARWR,"Arrowhead Pharmaceuticals, Inc.",2.27B,16.42,572.98M
399,ARX,Accelerant Holdings,6.11B,27.53,605.50M
400,AS,"Amer Sports, Inc.",20.63B,37.2,5.46B
401,ASA,ASA Gold and Precious Metals Limited,662.80M,35.12,3.92M
402,ASAN,"Asana, Inc.",3.19B,13.54,738.70M
403,ASB,Associated Banc-Corp,3.92B,24,1.04B
404,ASBP,"Aspire Biopharma Holdings, Inc.",16.43M,0.336,-
405,ASC,Ardmore Shipping Corporation,428.99M,10.56,324.20M
406,ASGN,ASGN Incorporated,2.17B,49.44,4.00B
407,ASH,Ashland Inc.,2.38B,52.04,1.87B
408,ASIC,Ategrity Specialty Insurance Company Holdings,898.50M,19.09,350.89M
409,ASIX,AdvanSix Inc.,486.69M,18.13,1.52B
410,ASLE,AerSale Corporation,389.00M,8.26,350.58M
411,ASM,Avino Silver & Gold Mines Ltd.,552.36M,3.81,72.62M
